age,weight_fr
0,11
1,11
2,12
3,12
4,12
5,12
6,12
7,12
8,12
9,12
10,12
11,12
12,12
13,12
14,12
15,12
16,12
17,12
18,12
19,12
20,12
21,12
22,12
23,12
24,12
25,12
26,12
27,12
28,13
29,13
30,13
31,13
32,13
33,13
34,13
35,13
36,13
37,13
38,12
39,13
40,13
41,13
42,14
43,14
44,14
45,14
46,14
47,14
48,14
49,14
50,14
51,14
52,14
53,14
54,14
55,13
56,13
57,13
58,13
59,13
60,13
61,13
62,13
63,13
64,13
65,13
66,13
67,13
68,12
69,11
70,10
71,9
72,8
73,8
74,8
75,8
76,8
77,8
78,8
79,8
80,7
81,7
82,7
83,7
84,7
85,6
86,6
87,5
88,5
89,4
90,4
91,3
92,3
93,3
94,2
95,2
96,1
97,1
98,1
99,1
100,1
