dep;ptot
001;659180
002;546527
003;347035
004;168381
005;145883
006;1097496
007;334688
008;280032
009;157210
010;317118
011;379094
012;289488
013;2048504
014;708344
015;150185
016;361539
017;659968
018;311456
019;249135
021;545798
022;617107
023;122133
024;424095
025;552643
026;524574
027;614926
028;443538
029;933992
02A;159768
02B;180465
030;757764
031;1385122
032;197953
033;1607545
034;1162867
035;1084554
036;227999
037;618820
038;1283384
039;269344
040;419709
041;340499
042;777328
043;234190
044;1423152
045;692540
046;179556
047;341270
048;80240
049;833154
050;512923
051;580671
052;180753
053;316750
054;745300
055;192588
056;771911
057;1062217
058;212742
059;2635255
060;841948
061;291557
062;1489983
063;668301
064;695965
065;234591
066;482368
067;1141511
068;777917
069;1869599
070;243264
071;569531
072;579650
073;443787
074;828417
075;2204773
076;1275559
077;1420469
078;1463091
079;384479
080;582464
081;398412
082;264130
083;1075653
084;570762
085;693455
086;447150
087;381379
088;378986
089;346902
090;145640
091;1310599
092;1625917
093;1630133
094;1397035
095;1239262
097;1908051
